STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN,TOBS,indicator
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/13/2018,0,64,76,56,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/14/2018,0,62,77,57,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/15/2018,0,62,66,56,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/16/2018,0,62,71,56,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/17/2018,0,62,72,57,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/18/2018,0,65,71,56,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/19/2018,0,60,67,56,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/20/2018,0,59,65,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/21/2018,0,60,69,54,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/22/2018,0,64,75,57,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/23/2018,0,69,71,58,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/24/2018,0,69,71,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/25/2018,0,67,69,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/26/2018,0,65,69,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/27/2018,0,64,67,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/28/2018,0,64,71,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/29/2018,0,66,72,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/30/2018,0,71,83,56,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/1/2018,0,69,75,59,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/2/2018,0,68,72,58,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/3/2018,0,67,70,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/4/2018,0,68,67,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/5/2018,0,67,70,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/6/2018,0,72,69,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/7/2018,0,74,65,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/8/2018,0,68,66,53,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/9/2018,0,64,69,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/10/2018,0,70,65,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/11/2018,0,70,66,53,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/12/2018,0,63,75,57,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/13/2018,0,65,71,58,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/14/2018,0,62,71,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/15/2018,0,60,69,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/16/2018,0,61,69,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/17/2018,0,60,67,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/18/2018,0,61,71,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/19/2018,0,62,72,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/20/2018,0,63,83,56,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/21/2018,0,66,75,59,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/22/2018,0,64,72,58,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/23/2018,0,62,70,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/24/2018,0,61,67,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/25/2018,0,61,70,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/26/2018,0,59,69,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/27/2018,0,59,65,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/28/2018,0,58,66,53,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/29/2018,0,58,66,52,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/30/2018,0,58,66,53,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/31/2018,0,58,65,52,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/1/2018,0,58,66,52,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/2/2018,0,59,68,52,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/3/2018,0,61,72,52,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/4/2018,0,62,73,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/5/2018,0,61,68,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/6/2018,0,60,73,50,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/7/2018,0,58,64,52,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/8/2018,0,59,70,53,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/9/2018,0,60,79,52,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/10/2018,0,60,71,52,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/11/2018,0,64,74,58,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/12/2018,0,63,72,58,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/13/2018,0,60,67,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/14/2018,0,59,66,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/15/2018,0,63,71,59,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/16/2018,0,63,71,58,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/17/2018,0,62,71,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/18/2018,0,60,71,52,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/19/2018,0,59,68,52,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/20/2018,0,60,72,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/21/2018,0,60,67,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/22/2018,0,63,72,61,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/23/2018,0,63,70,61,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/24/2018,0,63,71,56,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/25/2018,0,60,71,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/26/2018,0,60,72,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/27/2018,0,62,71,56,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/28/2018,0,62,68,58,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/29/2018,0,65,74,58,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/30/2018,0,65,71,58,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",8/31/2018,0,62,71,56,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",9/1/2018,0,60,68,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",9/2/2018,0,60,69,53,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",9/3/2018,0,60,70,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",9/4/2018,0,61,70,56,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",9/5/2018,0,61,71,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",9/6/2018,0,58,64,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",9/7/2018,0,59,72,53,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",9/8/2018,0,61,73,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",9/9/2018,0,62,73,52,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",9/10/2018,0,61,77,53,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",9/11/2018,0,61,70,55,,
